timestamp,spo2,heart_rate,battery_level,movement,night_date,source
2026-05-14T23:55:12,98,87,100,0,2026-05-15,live
2026-05-14T23:55:28,98,86,100,0,2026-05-15,live
2026-05-14T23:55:43,98,86,100,3,2026-05-15,live
2026-05-14T23:55:58,98,92,100,5,2026-05-15,live
2026-05-14T23:56:13,98,88,100,1,2026-05-15,live
2026-05-14T23:56:28,98,88,100,0,2026-05-15,live
2026-05-14T23:56:43,98,88,100,1,2026-05-15,live
2026-05-14T23:56:58,98,88,100,0,2026-05-15,live
2026-05-14T23:57:13,98,89,100,0,2026-05-15,live
2026-05-14T23:57:28,98,90,100,0,2026-05-15,live
2026-05-14T23:57:43,98,91,100,8,2026-05-15,live
2026-05-14T23:57:59,97,93,100,0,2026-05-15,live
2026-05-14T23:58:14,96,99,100,0,2026-05-15,live
2026-05-14T23:58:29,97,98,100,9,2026-05-15,live
2026-05-14T23:58:44,98,89,100,12,2026-05-15,live
2026-05-14T23:58:59,98,89,100,1,2026-05-15,live
2026-05-14T23:59:14,98,86,100,0,2026-05-15,live
2026-05-14T23:59:29,98,85,100,0,2026-05-15,live
2026-05-14T23:59:44,97,85,100,0,2026-05-15,live
2026-05-14T23:59:59,98,85,100,0,2026-05-15,live
2026-05-15T00:00:15,98,82,100,0,2026-05-15,live
2026-05-15T00:00:30,98,85,100,0,2026-05-15,live
2026-05-15T00:00:45,97,87,100,3,2026-05-15,live
2026-05-15T00:01:00,97,90,100,1,2026-05-15,live
2026-05-15T00:01:15,98,90,100,1,2026-05-15,live
2026-05-15T00:01:30,98,92,100,0,2026-05-15,live
2026-05-15T00:01:45,98,91,100,0,2026-05-15,live
2026-05-15T00:02:00,98,87,100,0,2026-05-15,live
2026-05-15T00:02:15,98,88,100,0,2026-05-15,live
2026-05-15T00:02:31,98,88,100,1,2026-05-15,live
2026-05-15T00:02:46,98,85,100,0,2026-05-15,live
2026-05-15T00:03:01,98,90,100,2,2026-05-15,live
2026-05-15T00:03:16,98,91,100,0,2026-05-15,live
2026-05-15T00:03:31,98,92,100,0,2026-05-15,live
2026-05-15T00:03:46,98,94,100,2,2026-05-15,live
2026-05-15T00:04:01,98,93,100,0,2026-05-15,live
2026-05-15T00:04:16,97,79,100,0,2026-05-15,live
2026-05-15T00:04:31,98,84,100,0,2026-05-15,live
2026-05-15T00:04:47,98,88,100,1,2026-05-15,live
2026-05-15T00:05:02,97,88,100,0,2026-05-15,live
2026-05-15T00:05:17,97,91,100,0,2026-05-15,live
2026-05-15T00:05:32,98,87,100,0,2026-05-15,live
2026-05-15T00:05:47,97,88,100,0,2026-05-15,live
2026-05-15T00:06:02,97,87,100,0,2026-05-15,live
2026-05-15T00:06:17,97,83,100,0,2026-05-15,live
2026-05-15T00:06:32,97,84,100,0,2026-05-15,live
2026-05-15T00:06:47,97,88,100,0,2026-05-15,live
2026-05-15T00:07:03,98,84,100,0,2026-05-15,live
2026-05-15T00:07:18,97,87,100,9,2026-05-15,live
2026-05-15T00:07:33,97,89,100,0,2026-05-15,live
2026-05-15T00:07:48,98,81,100,0,2026-05-15,live
2026-05-15T00:08:03,97,84,100,1,2026-05-15,live
2026-05-15T00:08:18,97,87,100,0,2026-05-15,live
2026-05-15T00:08:33,98,86,100,1,2026-05-15,live
2026-05-15T00:08:48,98,87,100,11,2026-05-15,live
2026-05-15T00:09:03,97,88,100,0,2026-05-15,live
2026-05-15T00:09:19,97,86,100,0,2026-05-15,live
2026-05-15T00:09:34,97,88,100,4,2026-05-15,live
2026-05-15T00:09:49,97,91,100,0,2026-05-15,live
2026-05-15T00:10:04,97,89,100,1,2026-05-15,live
2026-05-15T00:10:19,97,91,100,0,2026-05-15,live
2026-05-15T00:10:34,97,90,100,1,2026-05-15,live
2026-05-15T00:10:49,98,92,100,7,2026-05-15,live
2026-05-15T00:11:04,98,92,100,0,2026-05-15,live
2026-05-15T00:11:19,98,91,100,0,2026-05-15,live
2026-05-15T00:11:34,98,92,100,0,2026-05-15,live
2026-05-15T00:11:50,98,83,100,6,2026-05-15,live
2026-05-15T00:12:05,98,87,100,1,2026-05-15,live
2026-05-15T00:12:20,98,88,100,1,2026-05-15,live
2026-05-15T00:12:35,98,90,100,21,2026-05-15,live
2026-05-15T00:12:50,98,93,100,0,2026-05-15,live
2026-05-15T00:13:05,97,98,100,0,2026-05-15,live
2026-05-15T00:13:20,98,93,100,1,2026-05-15,live
2026-05-15T00:13:35,98,93,100,1,2026-05-15,live
2026-05-15T00:13:50,97,88,100,0,2026-05-15,live
2026-05-15T00:14:06,97,93,100,0,2026-05-15,live
2026-05-15T00:14:21,97,88,100,0,2026-05-15,live
2026-05-15T00:14:36,97,88,100,1,2026-05-15,live
2026-05-15T00:14:51,97,85,100,0,2026-05-15,live
2026-05-15T00:15:06,97,85,100,0,2026-05-15,live
2026-05-15T00:15:21,97,87,100,0,2026-05-15,live
2026-05-15T00:15:36,97,87,100,55,2026-05-15,live
2026-05-15T00:15:51,97,99,100,0,2026-05-15,live
2026-05-15T00:16:07,98,80,100,0,2026-05-15,live
2026-05-15T00:16:22,97,87,100,0,2026-05-15,live
2026-05-15T00:16:37,97,83,100,0,2026-05-15,live
2026-05-15T00:16:52,97,82,100,0,2026-05-15,live
2026-05-15T00:17:07,97,82,100,0,2026-05-15,live
2026-05-15T00:17:22,97,82,100,0,2026-05-15,live
2026-05-15T00:17:37,97,83,100,0,2026-05-15,live
2026-05-15T00:17:52,97,85,100,0,2026-05-15,live
2026-05-15T00:18:07,97,82,100,0,2026-05-15,live
2026-05-15T00:18:23,98,83,100,0,2026-05-15,live
2026-05-15T00:18:38,98,87,100,0,2026-05-15,live
2026-05-15T00:18:53,98,88,100,0,2026-05-15,live
2026-05-15T00:19:08,98,84,100,0,2026-05-15,live
2026-05-15T00:19:23,98,83,100,1,2026-05-15,live
2026-05-15T00:19:38,97,84,100,2,2026-05-15,live
2026-05-15T00:19:53,97,87,100,0,2026-05-15,live
2026-05-15T00:20:08,97,89,100,0,2026-05-15,live
2026-05-15T00:20:23,98,86,100,0,2026-05-15,live
2026-05-15T00:20:39,98,88,100,0,2026-05-15,live
2026-05-15T00:20:54,98,88,100,0,2026-05-15,live
2026-05-15T00:21:09,98,88,100,0,2026-05-15,live
2026-05-15T00:21:24,98,87,100,0,2026-05-15,live
2026-05-15T00:21:39,98,84,100,0,2026-05-15,live
2026-05-15T00:21:54,97,85,100,0,2026-05-15,live
2026-05-15T00:22:09,97,84,100,0,2026-05-15,live
2026-05-15T00:22:24,98,85,100,0,2026-05-15,live
2026-05-15T00:22:39,98,85,100,0,2026-05-15,live
2026-05-15T00:22:54,98,86,100,0,2026-05-15,live
2026-05-15T00:23:10,98,79,100,0,2026-05-15,live
2026-05-15T00:23:25,97,82,100,0,2026-05-15,live
